home_elo,away_elo,elo_diff,home_win_rate,away_win_rate,win_rate_diff,home_avg_goals,away_avg_goals,avg_goals_diff,home_avg_goals_against,away_avg_goals_against,avg_goals_against_diff,home_last5_win_rate,away_last5_win_rate,last5_win_rate_diff,home_last5_goal_diff,away_last5_goal_diff,last5_goal_diff_diff,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,neutral,tournament_weight,match_id,date,home_team,away_team,home_score,away_score,tournament,target,target_label
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,0,1872-11-30,scotland,england,0,0,friendly,D,1
1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0.5,1,1873-03-08,england,scotland,4,2,friendly,H,2
1488.0,1512.0,-24.0,0.0,0.5,-0.5,1.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.5,-0.5,-1.0,1.0,-2.0,2,0,1,1,2,4,0,0.5,2,1874-03-07,scotland,england,2,1,friendly,H,2
1501.3103211054633,1498.6896788945367,2.6206422109266896,0.3333333333333333,0.3333333333333333,0.0,1.6666666666666667,1.3333333333333333,0.3333333333333335,1.3333333333333333,1.6666666666666667,-0.3333333333333335,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,3,1,1,1,5,4,0,0.5,3,1875-03-06,england,scotland,2,2,friendly,D,1
1498.7651056102102,1501.2348943897898,-2.4697887795796305,0.25,0.25,0.0,1.5,1.75,-0.25,1.75,1.5,0.25,0.25,0.25,0.0,-0.25,0.25,-0.5,4,1,1,2,6,7,0,0.5,4,1876-03-04,scotland,england,3,0,friendly,H,2
1512.8646246633666,1500.0,12.864624663366612,0.4,0.0,0.4,1.8,0.0,1.8,1.4,0.0,1.4,0.4,0.0,0.4,0.4,0.0,0.4,0,0,0,0,0,0,0,0.5,5,1876-03-25,scotland,wales,4,0,friendly,H,2
1487.1353753366334,1528.2724574046372,-41.13708206800379,0.2,0.5,-0.3,1.4,2.1666666666666665,-0.7666666666666666,1.8,1.1666666666666667,0.6333333333333333,0.2,0.6,-0.39999999999999997,-0.4,1.2,-1.6,5,1,2,2,7,9,0,0.5,6,1877-03-03,england,scotland,1,3,friendly,A,0
1484.5921672587294,1538.8582354368489,-54.26606817811944,0.0,0.5714285714285714,-0.5714285714285714,0.0,2.2857142857142856,-2.2857142857142856,4.0,1.1428571428571428,2.857142857142857,0.0,0.8,-0.8,-4.0,2.0,-6.0,1,0,1,0,0,4,0,0.5,7,1877-03-05,wales,scotland,0,2,friendly,A,0
1548.999045874643,1476.5495973044217,72.4494485702212,0.625,0.16666666666666666,0.45833333333333337,2.25,1.3333333333333333,0.9166666666666667,1.0,2.0,-1.0,0.8,0.2,0.6000000000000001,2.2,-0.8,3.0,6,3,1,2,12,8,0,0.5,8,1878-03-02,scotland,england,7,2,friendly,H,2
1563.2990473623809,1474.4513568209354,88.84769054144544,0.6666666666666666,0.0,0.6666666666666666,2.7777777777777777,0.0,2.7777777777777777,1.1111111111111112,3.0,-1.8888888888888888,1.0,0.0,1.0,3.2,-3.0,6.2,2,2,0,0,6,0,0,0.5,9,1878-03-23,scotland,wales,9,0,friendly,H,2
